'name','model','train_window_size','test_window_size','abs_mean_error','mape','rmse','timestamp'
'Crude_Oil_Dataset','"Arima(0;0;0)"',24,3,'14.863682398747072','0.27181962761012035','3.0770535494212217','2023-05-23 10:54:29'
'Crude_Oil_Dataset','"Arima(0;0;1)"',24,3,'12.802877636034257','0.2337135519579225','2.7276361936601057','2023-05-23 11:04:48'
'Crude_Oil_Dataset','"Arima(0;0;2)"',24,3,'11.097763578434066','0.20198660387287953','2.4231271446646194','2023-05-23 11:18:26'
'Crude_Oil_Dataset','"Arima(0;0;3)"',24,3,'9.606805887982988','0.17272528045095245','2.1124395218992973','2023-05-23 11:46:23'
'Crude_Oil_Dataset','"Arima(0;0;4)"',24,3,'9.555630614939533','0.17000295222873585','2.101852717040135','2023-05-23 12:23:59'
'Crude_Oil_Dataset','"Arima(0;0;5)"',24,3,'8.552904955341829','0.15214883472349494','1.814394944677733','2023-05-23 13:10:00'
'Crude_Oil_Dataset','"Arima(0;1;0)"',24,3,'6.827328265433218','0.12062338016003708','1.4276323971448592','2023-05-23 13:11:30'
'Crude_Oil_Dataset','"Arima(0;1;1)"',24,3,'6.773304025011942','0.1183033957151631','1.412880207589493','2023-05-23 13:14:31'
'Crude_Oil_Dataset','"Arima(0;1;2)"',24,3,'6.926079257066618','0.12199696544207288','1.4389454531700185','2023-05-23 13:20:15'
'Crude_Oil_Dataset','"Arima(0;1;3)"',24,3,'7.1889295446178965','0.12863239147490066','1.5157583916018822','2023-05-23 13:34:00'
'Crude_Oil_Dataset','"Arima(0;1;4)"',24,3,'7.503866933004064','0.13164759361887954','1.5796084833207198','2023-05-23 13:59:52'
'Crude_Oil_Dataset','"Arima(0;1;5)"',24,3,'7.956588889593061','0.13785683690166267','1.7111761965107808','2023-05-23 14:38:15'
'Crude_Oil_Dataset','"Arima(0;2;0)"',24,3,'10.670745463504435','0.18125545613998958','2.2257181341211796','2023-05-23 14:39:53'
'Crude_Oil_Dataset','"Arima(0;2;1)"',24,3,'9.255207243507856','0.1632117215268446','2.0006467226845497','2023-05-23 14:45:34'
'Crude_Oil_Dataset','"Arima(0;2;2)"',24,3,'8.245040446516988','0.1437471177864938','1.7244560620217264','2023-05-23 14:57:45'
'Crude_Oil_Dataset','"Arima(0;2;3)"',24,3,'8.251454529987196','0.14241858741774055','1.7179402186933814','2023-05-23 15:19:31'
'Crude_Oil_Dataset','"Arima(0;2;4)"',24,3,'8.455224169915235','0.14872039916008664','1.7734998107812092','2023-05-23 15:50:48'
'Crude_Oil_Dataset','"Arima(0;2;5)"',24,3,'8.921942999108667','0.1529272199329186','1.8615165946116974','2023-05-23 16:32:06'
'Crude_Oil_Dataset','"Arima(0;3;0)"',24,3,'23.64885372407014','0.3777077954674284','5.283833941089502','2023-05-23 16:33:43'
'Crude_Oil_Dataset','"Arima(0;3;1)"',24,3,'11.090038419745136','0.18819952274657226','2.334891083965538','2023-05-23 16:41:26'
'Crude_Oil_Dataset','"Arima(0;3;2)"',24,3,'10.556682876096616','0.18259963841554133','2.2821731591564127','2023-05-23 16:56:32'
'Crude_Oil_Dataset','"Arima(0;3;3)"',24,3,'9.778094649125437','0.17133312846156426','2.1359292228409954','2023-05-23 17:24:03'
'Crude_Oil_Dataset','"Arima(0;3;4)"',24,3,'10.24052017240312','0.17457755201302957','2.1379009802777684','2023-05-23 18:01:49'
'Crude_Oil_Dataset','"Arima(0;3;5)"',24,3,'11.680311447449336','0.20396672208454822','2.6238633641389177','2023-05-23 18:50:01'
'Crude_Oil_Dataset','"Arima(1;0;0)"',24,3,'6.887929196655641','0.12349863831178594','1.467286566643626','2023-05-23 18:54:20'
'Crude_Oil_Dataset','"Arima(1;0;1)"',24,3,'6.7700179989759','0.12037846630169918','1.470034771526308','2023-05-23 19:02:38'
'Crude_Oil_Dataset','"Arima(1;0;2)"',24,3,'7.023045332340698','0.12453060155545274','1.5191008739833696','2023-05-23 19:16:32'
'Crude_Oil_Dataset','"Arima(1;0;3)"',24,3,'7.579260578211121','0.13496865612272724','1.5942158968682099','2023-05-23 19:47:48'
'Crude_Oil_Dataset','"Arima(1;0;4)"',24,3,'8.089354379209883','0.143412320431733','1.689783373917916','2023-05-23 20:28:42'
'Crude_Oil_Dataset','"Arima(1;0;5)"',24,3,'8.50541126047318','0.15316945229321846','1.7667360225757565','2023-05-23 21:20:13'
'Crude_Oil_Dataset','"Arima(1;1;0)"',24,3,'7.10421066029257','0.12489314528628447','1.4727940281637153','2023-05-23 21:23:42'
'Crude_Oil_Dataset','"Arima(1;1;1)"',24,3,'7.198378627947702','0.12578957698276552','1.5015636127859169','2023-05-23 21:30:27'
'Crude_Oil_Dataset','"Arima(1;1;2)"',24,3,'7.115516117655971','0.12477837460561154','1.4932846031553677','2023-05-23 21:48:47'
'Crude_Oil_Dataset','"Arima(1;1;3)"',24,3,'7.381703793801986','0.1304716039227378','1.560694761758848','2023-05-23 22:18:01'
'Crude_Oil_Dataset','"Arima(1;1;4)"',24,3,'7.5215124086785','0.13243958194096406','1.600446863517249','2023-05-23 22:57:18'
'Crude_Oil_Dataset','"Arima(1;1;5)"',24,3,'7.752488016990784','0.13669733220940508','1.6834564599644004','2023-05-23 23:46:50'
'Crude_Oil_Dataset','"Arima(1;2;0)"',24,3,'10.049378629466306','0.17222764561311155','2.1419514903259405','2023-05-23 23:50:51'
'Crude_Oil_Dataset','"Arima(1;2;1)"',24,3,'8.55600712501732','0.14756975395358504','1.8170831585659226','2023-05-24 00:06:41'
'Crude_Oil_Dataset','"Arima(1;2;2)"',24,3,'8.164207075701519','0.14237660271297617','1.6986702375451987','2023-05-24 00:33:50'
'Crude_Oil_Dataset','"Arima(1;2;3)"',24,3,'8.277820215886623','0.14320631085546667','1.7475628206652556','2023-05-24 01:08:32'
'Crude_Oil_Dataset','"Arima(1;2;4)"',24,3,'8.472670497158097','0.14680958518856277','1.7751318360692918','2023-05-24 01:51:04'
'Crude_Oil_Dataset','"Arima(1;2;5)"',24,3,'8.593930423835012','0.14719869628005458','1.8060971077297743','2023-05-24 02:43:06'
'Crude_Oil_Dataset','"Arima(1;3;0)"',24,3,'19.212092901609683','0.3162042131962244','4.2670678829337625','2023-05-24 02:46:00'
'Crude_Oil_Dataset','"Arima(1;3;1)"',24,3,'10.687301558149057','0.1824402071740825','2.3111814755343016','2023-05-24 02:59:01'
'Crude_Oil_Dataset','"Arima(1;3;2)"',24,3,'10.491744376710084','0.17887984495468795','2.2709298129785993','2023-05-24 03:22:52'
'Crude_Oil_Dataset','"Arima(1;3;3)"',24,3,'10.639623646259274','0.1824865682177531','2.318460516482346','2023-05-24 03:58:15'
'Crude_Oil_Dataset','"Arima(1;3;4)"',24,3,'10.158165288156074','0.17480478812232716','2.1580382193627186','2023-05-24 04:43:27'
'Crude_Oil_Dataset','"Arima(1;3;5)"',24,3,'1341.4428586367405','22.10158941198717','269.12463905267555','2023-05-24 05:23:54'
'Crude_Oil_Dataset','"Arima(2;0;0)"',24,3,'7.497111062330785','0.13385211550648007','1.607479587322082','2023-05-24 05:32:34'
'Crude_Oil_Dataset','"Arima(2;0;1)"',24,3,'7.842780347441884','0.13840414124250605','1.6579085476796607','2023-05-24 05:46:42'
'Crude_Oil_Dataset','"Arima(2;0;2)"',24,3,'7.894182089672284','0.1405675244883243','1.6718001195186687','2023-05-24 06:14:12'
'Crude_Oil_Dataset','"Arima(2;0;3)"',24,3,'8.453767796446071','0.14972876276661726','1.7461081535151395','2023-05-24 06:56:14'
'Crude_Oil_Dataset','"Arima(2;0;4)"',24,3,'8.891826809392013','0.15597432485199628','1.822879081301092','2023-05-24 07:49:08'
'Crude_Oil_Dataset','"Arima(2;0;5)"',24,3,'8.909354413601868','0.1583935653057745','1.867048716560755','2023-05-24 08:49:17'
'Crude_Oil_Dataset','"Arima(2;1;0)"',24,3,'7.1385571643958725','0.125402645727045','1.493575605946437','2023-05-24 08:53:24'
'Crude_Oil_Dataset','"Arima(2;1;1)"',24,3,'7.1936589686545505','0.12600846582210268','1.5171036779679117','2023-05-24 09:03:44'
'Crude_Oil_Dataset','"Arima(2;1;2)"',24,3,'7.547629306348186','0.1340906242398969','1.574764713055877','2023-05-24 09:28:40'
'Crude_Oil_Dataset','Arima(2;2;1)',24,3,'8.25262207097858','0.14534507834048827','1.7178635208320787','2023-05-24 20:41:33'
'Crude_Oil_Dataset','Arima(2;2;2)',24,3,'9.039481288587712','0.1548707565996147','1.9119253590528043','2023-05-24 21:09:04'
'Crude_Oil_Dataset','Arima(2;2;3)',24,3,'8.637697888100988','0.1516056897984815','1.8209661692460304','2023-05-24 21:55:10'
'Crude_Oil_Dataset','Arima(2;2;4)',24,3,'8.637991207723532','0.1498012591006591','1.8115083712987445','2023-05-24 22:49:00'
'Crude_Oil_Dataset','Arima(2;3;1)',24,3,'10.074356694988909','0.17590213388280837','2.153369880693663','2023-05-24 23:08:42'
'Crude_Oil_Dataset','Arima(2;3;2)',24,3,'10.264973385428263','0.18051854753616856','2.211556964900653','2023-05-24 23:41:12'
'Crude_Oil_Dataset','Arima(2;3;3)',24,3,'10.903923802307972','0.18614566462961513','2.299633300334476','2023-05-25 00:29:56'
'Crude_Oil_Dataset','Arima(2;3;4)',24,3,'9.946654435270212','0.17314118717408955','2.112837829722587','2023-05-25 01:26:11'
'Crude_Oil_Dataset','Arima(2;4;1)',24,3,'18.115363143520685','0.3042342688913551','3.8984407160682246','2023-05-25 01:46:18'
'Crude_Oil_Dataset','Arima(2;3;0)',24,3,'16.65285311145097','0.28240977227985437','3.585690952140041','2023-05-26 09:36:13'
'Crude_Oil_Dataset','Arima(3;0;0)',24,3,'7.431570949668289','0.1327983969796977','1.600466920138817','2023-05-26 10:33:30'
'Crude_Oil_Dataset','Arima(3;0;1)',24,3,'7.692081431695752','0.1379617683547615','1.6502166483951237','2023-05-26 11:37:14'
'Crude_Oil_Dataset','Arima(3;0;2)',24,3,'7.96347223596653','0.14424910364680876','1.688244522614222','2023-05-26 12:39:22'
'Crude_Oil_Dataset','Arima(3;0;3)',24,3,'8.169409331763854','0.14469346534915653','1.6791921540358379','2023-05-26 14:00:47'
'Crude_Oil_Dataset','Arima(3;0;4)',24,3,'8.492430589340302','0.150181967368171','1.741996325968832','2023-05-26 15:33:32'
'Crude_Oil_Dataset','Arima(3;1;0)',24,3,'7.294968264809071','0.12779033229435624','1.5213298101191957','2023-05-26 15:43:36'
'Crude_Oil_Dataset','Arima(3;1;1)',24,3,'7.347879921153035','0.12955709181230904','1.5615599296221307','2023-05-26 16:08:16'
